tư_vấn thuốc huyết_áp	chào bác sỹ cho tôi hỏi thuốc huyết_áp savi dopril có làm tăng nhịp tim khi uống không ả 
khó đi vào giấc_ngủ	thưa bác_sĩ cháu thường rất khó để đi vào giấc_ngủ khi nằm xuống cháu luôn suy_nghĩ về việc linh_tinh cháu cũng hay tự nghĩ ra những trường_hợp tiêu_cực nhỡ đâu mình bị như này như kia rồi cảm_thấy sợ_hãi bồn_chồn luôn cảm_thấy nặng đầu không thoải_mái vì gần như lúc nào trong đầu cháu cũng nghĩ nghĩ hoặc suy_diễn việc gì đó cháu rất khó_chịu luôn muốn thoát ra khỏi những suy_nghĩ ấy nhưng cháu không làm được trong khoảng thời_gian này cháu thấy rất nhàm_chán không có niềm_vui đi làm về nhà đi học ngày nào cũng lặp_lại như vậy cháu đang là sinh_viên và việc thuê trọ ở mình nên dường như càng bí_bách hơn bác_sĩ cho cháu hỏi cháu có nên đi khám về tình_trạng của mình không ạ cháu cảm_ơn bác_sĩ nhiều 
rối_loạn lo_âu loạn_thần cấp	xin bác_sĩ tư_vấn con_trai tôi năm nay tuổi triệu_chứng khởi_phát mất_ngủ nhiều cơ_thể mệt_mỏi suy_giảm trí_nhớ nhẹ nhiều lúc muốn nói nhưng không nghĩ được mà nói có suy_nghĩ nghi_ngờ mình bị hại đi khám và điều_trị trong khoảng từ t đến t đợt t đến t đi khám và uống thuốc theo đơn đỡ rồi bị lại bị kết_luận tâm_thần phân_liệt khiến con tôi và gia_đình bị sốc đợt t đến t đi khám lại bác_sĩ khác và uống thuốc theo đơn đỡ rồi bị lại bác_sĩ kết_luận rối_loạn lo_âu không phải tâm_thần phân_liệt đợt t đến t khám bác_sĩ khác nằm và điều_trị tại bệnh_viện con tôi nói nằm viện thì cơ_thể được nghỉ_ngơi sức_khỏe nâng lên nhưng bệnh thì đỡ ít về nhà được tuần bệnh nặng lên nhiều lúc thở khó_nhọc mệt_mỏi lúc nào đầu_óc cũng cảm_thấy ức_chế người khó_chịu đờ_đẫn rối_loạn lo_âu đợt lại vào viện nằm và điều_trị tuần vẫn bác_sĩ đợt kết_luận rối_loạn lo_âu loạn_thần cấp không có triệu_chứng của tâm_thần phân_liệt và thay_đổi phác_đồ điều_trị theo hướng tiêm thuốc con tôi đỡ ít ngủ li_bì phản_ứng phụ bứt_rứt bồn_chồn méo mồm vẹo lưng sau đó hết phản_ứng phụ con tôi rất sợ thuốc nên muốn về từ đó đến nay về nhà con tôi luôn mệt_mỏi nằm nhiều đầu_óc lúc nào cũng ức_chế có lúc cảm_thấy như tim ngừng đập khó thở ăn uống kém không có cảm_giác đói tay run hoang_mang không uống thuốc không tin_tưởng bác_sĩ con tôi vẫn có cố_gắng dậy tập thể_dục hàng ngày nhưng vẫn rất mệt nằm rất nhiều xin được bác_sĩ tư_vấn giúp gia_đình tôi 
như thế này là bệnh gì	bác_sĩ ơi cho cháu hỏi là chau dầu nặng_trĩu tại chau co nhiều chuyện xảy ra với cháu 
điện_thế não thấp	ba tôi thường_xuyên đau đầu khi đo điện não đồ bác sỹ kết_luận là bị điện_thế não thấp cho tôi hỏi điện_thế não thấp là gì xin chân_thành cảm_ơn 
mất trí_nhớ	em khoảng h hôm trên đường đi làm về có gây ra vụ tai_nạn ở đọan đường vắng nhưng em không nhớ gì về vụ tại nạn mặc dù em vẫn tỉnh lúc người ta đưa em với anh kia lên viện hay lúc bạn em gọi em vẫn nói_chuyện bạn hỏi em ở đâu thì em bảo không biết đén lúc bạn em lên thì thấy người ta để em ngồi ở quán nước mặc mặt với tay em xước hết chỉ cho a kia vào viện bạn em đến đưa em về em cũng không nhớ gì mãi đến lúc h em mới cảm_giác người mình tỉnh nhưng không thể nhớ những chuyện gì sảy ra từ lúc gây tai_nạn đến lúc h bác_sĩ cho em hỏi như vậy là em bị làm sao ạ 
sức_khỏe	e bị nữa năm nay cứ nằm xuống lúc là nghe âm_thanh lạ trong_tai mở mắt ra là ko nghe e có đi khám rất nhiều nơi nhưng bệnh vẫn ko hết hôm bữa e có đi khám bác_sĩ tư_nhân bác_sĩ nói là do lưỡi gà của e nó dài nên khi chuẩn_bị ngủ nó rung lên tạo ra âm_thanh lưỡi gà của e ko có bị đau và sưng gì hết cho hỏi e bị gì vậy e cảm_ơn bác_sĩ 
mất cảm_giác vùng da đùi	cho em hỏi em bị mất cảm_giác vùng da đùi bên trái khoảng tháng nay trên vùng da không có bất cứ dấu_hiệu bất_thường như nóng lạnh hay nổi bất cứ gì khi lấy tay sờ thì không có cảm_giác mà lấy hai đầu ngón_tay bóp nhẹ lên vùng da thì rất đau em không biết bị bệnh gì xin bác_sĩ tư_vấn giùm em xin cảm_ơn bác_sĩ rất nhiều 
nội thần_kinh	dạ cho con hỏi là bệnh viêm thần_kinh tiền_đình có bị chuột_rút co_giật cánh tay với đau tai không ạ 
hay không tự_chủ được ngôn_ngữ	chào các bác sỉ chuyên_gia em năm nay t dạo gần_đây e cảm_thấy hoang_mang vì hay bị miệng tự phát ra âm_thanh mà không tự_chủ được ngày khoảng lần củng có khi nhiều hơn trước khi ngủ củng hay bị r mới ngủ được dạo gần_đây thì thấy hơi ngày nào củng có e đã cố_gắng không ngĩ tới nhưng vẫn bị mặt thì tự di_chuyển sang bên miệng thì phát ra từ moa thường xay ra tầm p và sau đó chở lại bình_thường nhưng sau khi bình_thường thì em cảm_thấy bên cổ rất mỏi và nóng mặt củng nóng vay cho em hỏi em bị gi ạ có nghiêm_trọng không ạ e hoang_mang quá 
xin chào	tôi bị mất cảm_giác tại vùng da ở đùi sau sinh 
tay viết khó kiểm_soát	tay con từ khi bị té xe năm lớp thì có dấu_hiệu run khó kiểm_soát cứ càng lo căng_thẳng thì trong người có cảm_giác run và tay càng không viết được học lớp thì gđ có đưa con đi khám thì được bác_sĩ chẩn_đoán run vô căn sau thời_gian uống thuốc thì tay con đã đỡ run tay lúc viết được lúc không được nhưng năm lớp nay con lại bị té xe và rồi tay thì lại càng khó viết theo suy_nghĩ không kiểm_soát lực tay cũng vậy thả_lỏng hay kìm chặt đều khó viết làm con lo_lắng hơn vì sắp tới con thi thpt bác_sĩ có thể cho con biết con nên làm cách nào và uống thuốc có thể uống thuốc hỗ_trợ gì được không ạ 
bác_sĩ tư_vấn giúp	bác_sĩ cho cháu hỏi bé nhà cháu nay được tháng tuổi nhưng bé chưa biết lật cổ còn yếu và chưa biết làm gì cả qua đi thăm khám và chụp mri bác_sĩ kết_luận bé bị tổn_thương nhuyễn_não chất trắng quanh não_thất bên hai bên giãn rộng bất đối_xứng não_thất bên bên phải kèm giảm thể_tích thùy trán đỉnh và nhẵn vỏ_não cùng bên giảm số_lượng sợi trục dẫn_truyền bên_bán cầu_não phải trên dti thiếu sản toàn_bộ thể chai với kết_luận như vậy bs cho cháu hỏi bệnh của bé có phẩu thuật và điều_trị được không ạ cháu xin cảm_ơn 
bệnh thần_kinh	chào bác_sĩ nửa năm gần_đây em hay gặp tình_trạng đau đầu lúc đau thì như có mạch_đập trong đầu choáng sợ chỗ đông người sợ tiếng ồn lớn đôi lúc bị hồi_hộp tim đập nhanh ngủ đêm nào củng mơ linh_tinh người mệt_mỏi thể_lực không có lúc nào củng lo_lắng mình bị bệnh bị đột_quỵ đi khám thực_thể k bị tổn_thương não không tổn_thương mạch_máu người không bị thếu chất không biết là em đang mắc bệnh gì 
bệnh thần_kinh	mẹ tôi năm nay tuổi nhưng dạo năm gần_đây mẹ tôi hay nói không chuẩn hay nói bậy có vấn_đề về thần_kinh ví_dụ người chết trên bàn_thờ thì nói mời xuống ăn cơm uống nước vậy mẹ tôi có làm sao không và nên uống thuốc gì 
rối_loạn lo_âu	bác_sĩ cho em hỏi dạo gần_đây e thường bị đau đầu khi đứng lên ngồi xuống cảm_giác hoa_mắt chóng_mặt và mất cân_bằng em cũng bị khó ngủ trước khi vào giấc_ngủ trong đầu em lại hiện lên những câu_chuyện không có thật trong cuộc_sống mà rất rõ như mình đang đứng chứng_kiến đôi lúc em còn bị vui buồn bất_thường em đang bình_thường lại bị buồn một cách vô_cớ mà không thể vui trở_lại gần_đây tần_suất lại nhiều hơn em cũng thấy không muốn ăn không muốn đi ngủ vì mỗi lần ngủ rất mệ mỏi khi lại hiện lên những câu_chuyện làm em rất mệt em lại rất hay hồi_hộp khi ở chổ đông người từ bé đên giờ vẫn còn cú khi hồi_hộp em lại ra nhiều mồ_hôi tay khó thở và tay run rất nhiều em không biết em có bị vấn_đề gì về thần_kinh không mong bác_sĩ giải_đáp em cảm_ơn 
qua liê u phenobarbital	đi không vững đi xe đa p đa nh vo ng co pha i la bê nh thâ n kinh không do qua liê u phenobarbital 
chen ep dây than_kinh thị_giác	chào bác_sĩ mẹ e năm nay t mẹ e đã từng bị tai_biến xuất_huyết não liệt nữa người đã đuoc năm vài ngày_trước khi đang ngu mà e đau đầu dữ_dội và sáng hôm sau me em không còn thấy đường đi e đã chở mẹ đi khám bác_sĩ chuan đoan mẹ e bị chen dây thần_kinh thi giác nên không thấy chi thay mờ_mờ không rõ nét như truoc bác_sĩ chi e hoi nen me e ci cách chữa_trị khong ạ va chữa_trị ntn 
có phải là di_truyền không ạ	bác_sĩ cho em hỏi em năm nay tuổi từ nhỏ em đã bị khó tập_trung khó hòa_đồng với mọi người giờ lớn lên giấc_ngủ rất kém lúc ngủ được vài tiếng lúc không ngủ được em hay cáu_gắt em suy_nghĩ tiêu_cực về mọi thứ giao_tiếp đối với em rất khó_khăn ngờ_nghệch khờ_khạo nhiều lúc không muốn nói_chuyện chỉ muốn ở một mình có người bảo em nhìn như nhỏ hơn so với bạn cùng tuổi rất nhiều em_em đứa lớn tuổi cũng bị như vậy em nhỏ tuổi cũng bị như vậy bạn tới nhà chơi nhưng không thích chơi rồi chạy vô phòng trốn ba em cũng bị mất_ngủ thường_xuyên rượu_chè bê_tha không chịu đi làm cách hành_xử khiến mọi người rất ghét và khó_chịu bác_sĩ cho em biết đây là chứng_bệnh gì được không ạ và chữa_trị như thế nào để bệnh chấm_dứt ạ chứ em_em mà lớn lên giống em thì rất đáng buồn ạ 
bệnh đau đầu	bác_sĩ cho e hỏi ạ dạo gần_đây cứ lúc làm_việc là cảm_giác đau đầu lại đến lúc đau bên trái lúc đau bên phải ạ suy_nghĩ nhiều cũng đau đầu dẫn tới mỏi mắt buồn_ngủ cv của e phải nhìn máy_tính nhiều mỗi ngày khoảng tiếng và phải tập_trung cao_độ ạ bác_sĩ có thể chỉ cho e đó là bệnh gì và dùng loại thuốc nào ko a e xin cảm_ơn 
giật	dạ chào bác_sĩ ạ em năm nay tuổi dạo gần_đây em có hiện_tượng thỉnh_thoảng ngồi em sẽ bị giật_giật đầu lên cái bất_ngờ đấy ạ sau cơn giật đó em thấy hơi đau đầu cho em hỏi tình_trạng của em như vậy là bị gì ạ có nguy_hiểm không vì lâu_lâu tình_trạng bị giật như vậy sẽ gây cho em cảm_giác khó_chịu và ngồi thẳng để đầu thoải_mái không được ạ nó cứ có cảm_giác khó_chịu 
bệnh khó ngủ	dạ chào bác_sĩ hiện_tại đang trong mùa_thi con là học_sinh cuối cấp ôn_tập rất nhiều dẫn đến tình_trạng khó ngủ hằng đêm có hôm tận h sáng mới ngủ được bác có cách j tư_vấn giúp con để giải_quyết tình_trạng đó hk ạ 
thần_kinh trẻ tuổi	con tôi tuổi dạo gần_đây giấc_ngủ đêm cháu thường bị tỉnh_giấc chân tay run lẩy_bẩy miệng run lắp_bắp ko noia thành tiếng tôi cố hỏi thì con có cảm_giác rất sợ ko nói đc vừa run vừa nói cái gì đó mà tôi ko thể nghe rõ đc tình_trạng đó kéo_dài vài phút sau đó cháu ổn_định dần chân tay bớt run miệng phát_âm rõ hơn thì cháu chỉ trả_lời tôi câu con chỉ bị thế thoii lần nào cũng là câu trả_lời đó ngày hôm sau tôi hỏi lại gần như cháu ko nhớ gì cả tháng cháu bị tầm lần nhìu thì lần rất mong lời_khuyên từ bác_sĩ tôi xin chân_thành cảm_ơn 
đau_nhói bắp đùi phải	chào bác_sĩ dạo gần_đây e bị đau_nhói ở phía trước bắp đùi phải vị_trí chính_xác là khi ta đứng thẳng và duỗi thằng tay thì e đau từ vị_trí cổ tay đến hết ngón_giữa cứ lúc thì lại đau giật_giật xin hỏi bác_sĩ là e bị làm sao ạ 
tâm_lý	em muốn biết mình có đang bị trầm_cảm không trong ba năm trước rất nhiều sự_cố xảy ra với em nhưng em lúc nào cũng cười và nghĩ trang kh có gì đâu mọi chuyện sẽ qua em cảm_giác em lớn hơn mấy bạn bằng tuổi rất nhiều và trải qua khá nhiều đâu khổ nhưng em vẫn luôn lạc_quan dạo gần_đây về đêm em hay buồn suy_nghĩ tiêu_cực vì việc_làm mất tất_cả mọi thứ cũng kh em thường đau đầu thức đến sáng em kh ngủ được có cố_gắng đến đâu nằm xuống là em trống_rỗng em có dùm đến thuốc_ngủ em hay nỗi cáu với mọi người xung_quanh chửi họ thậm_tệ thậm chí em còn muốn kết_thúc cuộc_sống của mình em cảm_thấy nó vô_vị và chán ghét bản_thân về đêm là em thu mình trong góc phòng và khóc ạ em kh có bạn ba mẹ thì kh quan_tâm đến em làm em rất buồn rất chán thần_sắc em lúc nào cũng buồn kh còn niềm_tin nào cả xin cho em lời_khuyên em cảm_ơn chuyên_gia 
bệnh về não	e hay nhức đầu moi khi ngủ dậy lúc nhức ít lúc nhiều lúc nhức nhiều e buồn_nôn mắt mờ mệt_mỏi nhức mỏi nửa bên người de cáu_gắt cho e hỏi là triệu_chứng bệnh gì ạ 
nang màng_nhện vùng chẩm	chào các bác sỹ ạ các bác sỹ cho e hỏi e thường_xuyên đau đầu chân tay yếu đi đi khám và chụp ct kết_luận e bị nang màng_nhện vùng chẩm cho e uống piracetam nhưng ngừng thuốc là e lại đau xin hỏi bác sỹ e có mổ được không ạ 
